author,music,lyrics
Billie Eilish,BIRDS OF A FEATHER,"I want you to stayTill I'm in the graveTill I rot away, dead and buriedTill I'm in the casket you carryIf you go, I'm going too, uh'Cause it was always you, uhAnd if I'm turning blue, please, don't save meNothing left to lose without my babyBirds of a feather, we should stick togetherI know I said I'd never think I wasn't better aloneCan't change the weather, might not be foreverBut if it's forever, it's even betterAnd I don't know what I'm crying forI don't think I could love you moreIt might not be long, but, baby, II'll love you till the day that I dieTill the day that I dieTill the light leaves my eyesTill the day that I dieI want you to see, mmmHow you look to me, huhYou wouldn't believe if I told yaYou would keep the compliments I throw yaBut you're so full of shit, hmmTell me it's a bit, ohSay you don't see it, your mind's pollutedSay you wanna quit, don't be stupidAnd I don't know what I'm crying forI don't think I could love you moreIt might not be long, but, baby, but IDon't wanna say goodbye(Birds of a feather, we should stick together) till the day that I die(I know I said I'd never think I wasn't better alone) till the light leaves my eyes(Can't change the weather, might not be forever) till the day that I dieBut if it's forever, it's even betterI knew you in another lifeYou had the same look in your eyesI love you, don't act so surprised"
Florianópolis House Of Prayer (fhop music),Tu és + Águas Purificadoras (part. Débora Rabelo e Hamilton Rabelo),"Junto ao poço estava euQuando um homem judeuViu a sede que havia em mimSem me ouvir, conheceuE me ofereceu uma água que jorra sem fimDá-me de beber, pois tenho sedeNão quero mais buscar em outras fontesNão precisarei aqui voltar pra minha sede saciarUma vez que eu já ouvi Teu falarTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorJunto ao poço estava euQuando um homem judeuViu a sede que havia em mimSem me ouvir, conheceuE me ofereceu uma água que jorra sem fimDá-me de beber, pois tenho sedeNão quero mais buscar em outras fontesNão precisarei aqui voltar pra minha sede saciarUma vez que eu já ouvi Teu falarTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorDá-me de beber, pois tenho sedeNão quero mais buscar em outras fontesNão precisarei aqui voltar pra minha sede saciarUma vez que eu já ouvi Teu falarDá-me de beber, pois tenho sedeNão quero mais buscar em outras fontesNão precisarei aqui voltar pra minha sede saciarUma vez que eu já ouvi Teu falarTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorQuero beber do Teu rio, SenhorSacia a minha sede, lava o meu interiorEu quero fluir em Tuas águasEu quero beber da Tua fonteFonte de águas vivasQuero beber do Teu rio, SenhorSacia a minha sede, lava o meu interiorEu quero fluir em Tuas águasEu quero beber da Tua fonteFonte de águas vivasTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu SalvadorTu és por quem a minh'alma esperouA fonte da vida que me encontrouÉs o dom de Deus, o MessiasO meu Salvador"
Hinos,Hino da Independência do Brasil,"Já podeis, da Pátria filhosVer contente a Mãe gentilJá raiou a liberdadeNo horizonte do BrasilJá raiou a liberdadeJá raiou a liberdadeNo horizonte do BrasilBrava gente brasileiraLonge vá, temor servilOu ficar a Pátria livreOu morrer pelo BrasilOu ficar a Pátria livreOu morrer pelo BrasilOs grilhões que nos forjavaDa perfídia astuto ardilHouve mão mais poderosaZombou deles o BrasilHouve mão mais poderosaHouve mão mais poderosaZombou deles o BrasilBrava gente brasileiraLonge vá, temor servilOu ficar a Pátria livreOu morrer pelo BrasilOu ficar a Pátria livreOu morrer pelo BrasilNão temais ímpias falangesQue apresentam face hostilVossos peitos, vossos braçosSão muralhas do BrasilVossos peitos, vossos braçosVossos peitos, vossos braçosSão muralhas do BrasilBrava gente brasileiraLonge vá, temor servilOu ficar a Pátria livreOu morrer pelo BrasilOu ficar a Pátria livreOu morrer pelo BrasilParabéns, ó brasileirosJá, com garbo juvenilDo universo entre as naçõesResplandece a do BrasilDo universo entre as naçõesDo universo entre as naçõesResplandece a do BrasilBrava gente brasileiraLonge vá, temor servilOu ficar a Pátria livreOu morrer pelo BrasilOu ficar a Pátria livreOu morrer pelo Brasil"
Harpa Cristã,Em Fervente Oração,"Em fervente oração, vem o teu coraçãoNa presença de Deus derramarMas só podes fruir o que estás a pedirQuando tudo deixares no altarQuando tudo perante o Senhor estiverE todo o teu ser Ele controlarSó então hás de ver que o Senhor tem poderQuando tudo deixares no altarMaravilhas de amor te fará o SenhorAtendendo à oração que aceitarSeu imenso poder te virá socorrerQuando tudo deixares no altarQuando tudo perante o Senhor estiverE todo o teu ser Ele controlarSó então hás de ver que o Senhor tem poderQuando tudo deixares no altarSe orares, porém, sem o teu coraçãoTer a paz que o Senhor pode darFoi por Deus não sentir que tua alma se abriuTudo, tudo, deixando no altarQuando tudo perante o Senhor estiverE todo o teu ser Ele controlarSó então hás de ver que o Senhor tem poderQuando tudo deixares no altar"
Teddy Swims,Lose Control,"Something's got a hold of me latelyNo, I don't know myself anymoreFeels like the walls are all closin' inAnd the devil's knockin' at my door, woahOut of my mind, how many timesDid I tell you I'm no good at bein' alone?Yeah, it's takin' a toll on me, tryin' my best to keepFrom tearin' the skin off my bones, don't you know?I lose controlWhen you're not next to me (when you're not here with me)I'm fallin' apart right in front of you, can't you see?I lose controlWhen you're not next to me, mmmYeah, you're breakin' my heart, babyYou make a mess of meProblematicProblem is I want your body like a fiend, like a bad habitBad habits hard to break when I'm with youYeah, I know I could do it on my ownBut I want that real full Moon, black magic, and it takes twoProblematicProblem is, when I'm with you, I'm an addictAnd I need some release, my skin in your teethCan't see the forest through the treesGot me down on my knees, darlin', please, ohI lose controlWhen you're not next to me (when you're not here with me)I'm fallin' apart right in front of you, can't you see?I lose controlWhen you're not next to me, mmmYeah, you're breakin' my heart, babyYou make a mess of me, yeahI lose controlWhen you're not here with me, mmmI'm fallin' apart right in front of you, can't you see?I lose controlWhen you're not here with me, mmmYeah, you're breakin' my heart, babyYou make a mess of me"
Liniker,CAJU,"お客様、こんにちは本日のフライトを利用いただきありがとうございますこの飛行機は日本を出発し、各地に向かいますどうぞリラックスして帰ってくださいQuero saber se você vai correr atrás de mimNum aeroportoPedindo pra eu ficar, pra eu não voarPra eu maneirar um poucoQue vai pintar uma tela do meu corpo nuVocê já decorou quantas tatuagens tenho?Se eu ligo pra cartoon ou rabisco os meus desenhosQuantos shows tem na minha agenda, meu disco favoritoO peso do meu coração (meu coração)Onde serão as férias? Qual tamanho da demanda?No samba, sei que samba, e o que será que faz chorar?Será que você sabe que, no fundo, eu tenho medoDe correr sozinha e nunca alcançar?Eu me encho de esperança, de algo novo que aconteçaQuem despetala a rosa estará lá pro que aconteça?Nuns dias, sou carente, completa, suficienteQuero amor correspondente pra testemunharQuando eu alçar o voo mais bonito da minha vidaQuem me chamará de amor, de gostosa, de querida?Que vai me esperar em casa, polir a joia raraSer o pseudofruto, a pele do cajuQuero saber se você vai correr atrás de mim (correr atrás de mim)Num aeroportoPedindo pra eu ficar, pra eu não voarPra eu maneirar um poucoQue vai pintar uma tela do meu corpo nuVocê já decorou quantas tatuagens tenho?Se eu ligo pra cartoon, se eu rabisco os meus desenhosQuantos shows tem na minha agenda? O meu disco favorito?O peso do meu coraçãoOnde serão as férias? Qual tamanho da demanda?No samba, sei que samba, e o que será que faz chorar?Será que você sabe que, no fundo, eu tenho medoDe correr sozinha e nunca alcançar?Eu me encho de esperança, de algo novo que aconteçaQuem despetala a rosa estará lá pro que aconteça?Nuns dias, sou carente, completa, suficienteQuero amor correspondente pra testemunharQuando eu alçar o voo mais bonito da minha vidaQuem me chamará de amor, de gostosa, de querida?Que vai me esperar em casa, polir a joia raraSer o pseudofruto, a pele do caju"
Matuê,Like This!,"Like thisI think you might (think you might) like thisLike thisI think you might, might, might like thisBaby, your tone, I think you might, you might like thisBe worth your time, promise I'll do my bestSittin' on my ass all day (yeah, oh)Smokin', playin' silly gamesMan, my life is such a wasteI've been inside this ill stateStuck in my own mental cageOh, my life is just decay (ayy, ayy)Sorry for my lack of confidence (oh)I was searchin' for my heart again (oh, oh)All these crushes in my heart againI was lost, but now I found againLike thisI think you might (you might) like thisLike thisI think you might, might, might like thisBaby, your tone, I think you might, you might like thisBe worth your time, promise I'll do my best"
Matuê,1993,"Quem diria que eu ia chegar aqui, né, mano?Depois de tantos anosCorreria (Palaze, what you cookin'?)Bust-down no meu pulso, eu já vivi piorNão que isso me torne melhorSe foder essas groupies for perca de tempoÉ que essas vadia não vale a gota do meu suorQue que adianta ser o maior e ser um prego?Se fodeu na armadilha do egoReina quem tem visão entre os cegos (ayy-ayy)Sou franco-atirador, eu não erroDe longe, eu tô de perto, Babylon by GusFumei essa vela e me deu luzAperto um do bom, espanto esses urubusFala, fala e nunca faz jusNo cap, meu mano, cê vive de capuzOne time, meu mano, o que te falta é JesusDeus guia o guidão, tira do caminho ruimMuita, muita, muita gente ruimSó querem teu mal, falando contra tuAP no pulso, eu já vivi piorMas quem dera poder voltar como era antesAntes, dormia no sofá, morria de trabalharNada disso passava de um sonho distanteHoje, eu sei que fiz o meu melhor (oh)Louco pra maioria, mas era brilhanteFiz a estratégia, o meu dom dominarQueima a Babilônia, é o inferno de Dante(Senhoras e senhores, com vocês: O melhor desde)1993, yah (wow-wow-yeah-wow-ah)On God, tamo no corre desde 1993, yeahOh-wow, yeah"
Grelo,De Graça ou Pagando,"(É o Grelo)Ela terminou comigoFalando que eu não ia encontrar ninguém melhor, ô dóEla só se esqueceu que em 2024 ninguém fica sóTem gente demais no mundo pra você se achar a fodaPelo amor de Deus, se tocaEu tentei ser seu, já que cê não quis, então sou das do job agora(Esquece não)Não é só sua pepeca que tem melNão é só sua boca que sabe levar pro céuHoje eu vou sair, vou atrás de uns te amoDe graça ou pagando, uouNão é só sua pepeca que tem melNão é só sua boca que sabe levar pro céuHoje eu vou sair, deixar meu corpo suandoDe graça ou pagando, de graça ou pagando, ô, ôVou te esquecerDe graça ou pagando, ô, ôVou te esquecerDe graça ou pagando(É o Grelo)Ela terminou comigoFalou que eu não ia encontrar ninguém melhor, ô dóEla só se esqueceu que em 2024 ninguém fica sóTem gente demais no mundo pra você se achar a fodaPelo amor de Deus, se tocaEu tentei ser seu, já que cê não quis, então sou das do job agora(Só pra você não esquecer, ó)Não é só sua pepeca que tem melNão é só sua boca que sabe levar pro céuHoje eu vou sair, vou atrás de uns te amoDe graça ou pagando, uouNão é só sua pepeca que tem melNão é só sua boca que sabe levar pro céuHoje eu vou sair, deixar meu corpo suandoDe graça ou pagando, de graça ou pagando, ô, ôVou te esquecerDe graça ou pagando, ô, ôVou te esquecerDe graça ou pagando(É o Grelo)(Hoje eu te esqueço nem que seja com uma profissional do esquecimento, vida)(O Grelo também é superação, vida)(Se ligue, se ligue)"
MC Hariel,A Dança (part. Gilberto Gil),"Com vocês e pra vocêsUma lenda da música que a gente deve muito respeitoGilberto GilVamo que vamoValeu, mestreMinha ideologia é o nascer de cada dia (aham)E minha religião é a luz na escuridão (pode crer, pode crer)Minha ideologia é o nascer de cada dia (vamo lá, vamo lá, vamo lá)E minha religião é a luz na escuridão (satisfação total, mestre, muito obrigado)Diversas vezes duvidei de mim, achei que o fim era adiantePorém, a fé me trouxe aqui, graças a Deus, ao funkCombustível pra prosseguir, cantar memo ofeganteNo meio de tanta incerteza, ser mais confianteÉ fato que o fácil vai fácil, difícil é entenderQuando a necessidade chama pra te corromperQuando a paisagem num é tão bela que nem a TVQuando o sorriso não é de graça quando é pra vocêJunto na dança, a esperança e o cotidianoCom um montão de engravatado o samba atravessandoSó acredito nas criança, que são o futuroProcuro me manter saudável onde ninguém tá puro, êMinha ideologia é o nascer de cada dia (tem que acreditar)E minha religião é a luz na escuridão (vamo lá, vamo lá, vamo lá)Minha ideologia é o nascer de cada diaE minha religião é a luz na escuridão (vambora, vambora, vambora)GilVocê não viu, foi por um fio, quase não deu pra te encontrarSobreviver é um desafio, cê conhece o lado de cáSua palavra na minha casa era um mantra pra reforçarArroz, feijão e andar com fé, que a fé não costuma faiarCreio que ser melhor que ontem ainda não é tão simplesVejo o futuro que é brilhante, só não é tão simplesQueria um mundo igual onde todo amor é livreNossas criança na escola e longe do crimeMestre, me diz, pra ser feliz é só enriquecer?Entre o poeta e o esfomeado, quem vai se arrepender?É um paradoxo complexo, difícil de entenderRespeita é mútuo, é só isso que tem que prevalecerMinha ideologia é o nascer de cada dia (simbora)E minha religião é a luz na escuridão (graças a Deus)Minha ideologia é o nascer de cada diaE minha religião é a luz na escuridão (caramba)MeninoQuando eu tinha a sua idadeEu já cantava roda e procissãoAgora, veterano da cidadeLhe encontro funkeando em contramãoMeninoNesse bonde do destinoSuperlotado como a barca de NoéNão é só decepção nem desatinoMas há de crer no ser, na luz, na féAnima ver que o mundo é muita genteMuito bicho, muita plantaçãoDesilusão nada mais é que o lixoIncinerado aqui no coraçãoQueima, coração, queimaArde, coração, ardePimenta, pimentinha e pimentãoHariel"
Matuê,Crack com Mussilon,"(Assim)(Que o dia amanheceu)(Lá no mar alto da paixão)Rosê no braço, meu mano, eu sou pardo, por isso eu só fumo marromNóis não sai do tom (não), a bad nóis tira no som, eiEu tô protegido com pente estendido na bolsa da Louis Vuitton (Louis)Yves Saint Laurent, pi-pi-piso de Lanvin (yeah)Tava na rua, servindo essa droga, vivendo que nem um garçomMisturo crack com Mussilon (yeah, yeah)Fazer dinheiro eu sei que eu tenho o domEla vem sendo vadia já faz alguns dias, sujou minha calça de batomEsses fudido eu nem sei quem sãoÉ que não dá pra andar com vacilãoVários estilos, jeito que eu me visto, meu drip no estilo, sou o mais fashionEla lançou logo os peito e a raba no vídeo só pra pegar a minha reactionMinha bitch é mais fashion, a minha bitch é mais fashionMinha nina tá comigo, se ela te dar um grito, nego, não se mete (não)Então me diz aê (aê)Tu vai matar ou morrer?Quem é que tá por você?Diamantes no meu APJoga tipo Mbappé (e aê?)Ela quer sentar pra verEla quer me dar prazerEla quer me dar prazerEntão me diz aêTu vai matar ou morrer?Quem é que tá por você?Diamantes no meu APJoga tipo Mbappé (Mbappé)Ela quer sentar pra ver (pra ver)Ela quer me dar prazer (prazer)Ela quer me dar prazer, yeahBebe meu lean (lean)Vive roubando meu vinho (meu vinho, yeah)Tomo o meu, tomo o meu drink (meu drink)Joias em cima de mim (de mim), drinkBebe meu lean (lean)Vive roubando meu vinho (meu vinho, yeah)Tomo o meu, tomo o meu drink (meu drink)Joias em cima de mim (de mim), yeahRosê no braço, meu mano, eu sou pardo, por isso eu só fumo marromNóis não sai do tom (não), a bad nóis tira no som, eiEu tô protegido com pente estendido na bolsa da Louis Vuitton (Louis)Yves Saint Laurent, pi-pi-piso de Lanvin (yeah)Tava na rua, servindo essa droga, vivendo que nem um garçomMisturo crack com Mussilon (yeah, yeah)Fazer dinheiro eu sei que eu tenho o domEla vem sendo vadia já faz alguns dias, sujou minha calça de batomEsses fudido eu nem sei quem sãoÉ que não dá pra andar com vacilãoSou sincero, eu sou um mano sinceroEu não quero ideia, não quero ideia, nãoSou sincero, eu sou um mano sinceroEu não quero ideia, não"
Matuê,4Tal (part. Teto),"(Yeah)Seja bem-vindo à capitalMas não se animaCuidado com a carniçaEm jogo fácil, é urubu que tá em cimaVai lá buscar em Iparana que a paranga tá de primaReggaezin no Reggae Club e o haxixe tá um grudeOs manin só anda de cima (ah-yah)Hoje tem bruxo em toda esquinaE as quadrada tudo fede à parafina, coisa finaVariedades de Fortal, yaySe a lombra bater, tu passa mal (bem mal, bem mal)Vem cá surfar no litoral (yay)Jogo bom, manda remessa boa daqui pra NatalPra doença do vacilo, eu tomei vacinaHoje tá nevando em Fortal, mudou o climaVê a calcinha da tua cumadi virar piscinaQuando ela vê que meu Rolex não é daqueles que é da ChinaEu tô com pulso congelado, mal-acostumadoQuem tem cabeça que crie seu gadoAutoridade, reveja suas palavra, eu tô na minha cidadeDegustando, fumo com os de verdadeA Babilônia é pra quem tem força e sagacidadeSe ver a lona, foge, porque é trairagemAndando aqui, nem tudo que eu vejo é miragemJá tive na dois, hoje eu tô lotando minha garagemVariedades de Fortal, yaySe a lombra bater, tu passa mal (bem mal, bem mal)Vem cá surfar no litoral (yay)Jogo bom, manda remessa boa daqui pra NatalPra doença do vacilo, eu tomei vacinaHoje tá nevando em Fortal, mudou o climaVê a calcinha da tua cumadi virar piscinaQuando ela vê que meu Rolex não é daqueles que é da ChinaEu já tô interado na covardia desses caraDeixa que a gente resolve, que a Justiça é falhaCinco bala no revólver (foda-se), eu uso a navalhaPõe um coringa no sorriso do canalha, depois enxuga a toalhaMal compreendido tipo Exu, eu sei que Ele nunca me falhaAntes que alguém me fure, eu vou rindo pra batalhaDesde pequeno eu vim pro mundo, eu sei que foi pra dar trabalhoAntes que alguém me mudeEu continuo em Fortal, yeahSe a lombra bater, tu passa mal (bem mal, bem mal)Vem cá surfar no litoral (yay)Jogo bom, manda remessa boa daqui pra NatalPra doença do vacilo, eu tomei vacinaHoje tá nevando em Fortal, mudou o climaVê a calcinha da tua cumadi virar piscinaQuando ela vê que meu Rolex não é daqueles que é da China"
Florianópolis House Of Prayer (fhop music),A Boa Parte (part. Nívea Soares),"Precioso JesusAos Teus pés aqui estouO que eu poderia Te oferecerPor tudo o que Tu és?Tudo o que tenhoEu derramo aos Teus pésNão importa quanto custouJesus, Teu valor é maiorEu encontrei o meu tesouroEu encontrei o bem mais preciosoEu encontrei o meu tesouroEu encontrei o bem mais preciosoPrecioso JesusEu amo o som da Tua vozTuas palavras são mais desejáveisQue o mais doce melTudo o que tenhoEu derramo aos Teus pésNão importa o quanto custouJesus, Teu valor é maiorJesus, Teu valor é maiorEu encontrei o meu tesouroEu encontrei o bem mais preciosoEu encontrei o meu tesouroEu encontrei o bem mais preciosoComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaEu encontrei o meu tesouroEu encontrei o bem mais preciosoEu encontrei o meu tesouroEu encontrei o bem mais preciosoComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaComo MariaQue estava aos Seus pés e dissestes a elaEssa é a boa parte que nunca, que nunca será tiradaEu encontrei o meu tesouroEu encontrei o bem mais preciosoEu encontrei o meu tesouroEu encontrei o bem mais precioso"
Harpa Cristã,A Alma Abatida,"Se tu, minh'alma, a Deus suplicasE não recebes, confiando ficaEm Suas promessas, que são mui ricasE infalíveis pra te valerPor que te abates, ó minha alma?E te comoves, perdendo a calma?Não tenhas medo, em Deus esperaPorque bem cedo Jesus viráEle intercede por ti, minh'almaEspera Nele com fé e calmaJesus de todos teus males salvaE te abençoa dos altos céusPor que te abates, ó minha alma?E te comoves, perdendo a calma?Não tenhas medo, em Deus esperaPorque bem cedo Jesus viráTerás, em breve, as dores findasNo dia alegre da Sua vindaSe Cristo tarda, espera aindaMais um pouquinho e o verásPor que te abates, ó minha alma?E te comoves, perdendo a calma?Não tenhas medo, em Deus esperaPorque bem cedo Jesus virá"
Maria Marçal,Deserto,"Eu não preciso transformarPedras em pães para provarQue no deserto Tu estásCuidando de mimDe um lugar alto não vou me lançarSó pra demonstrar o Teu poderEu não preciso ver fenômenos para crer em TiNão troco nossa comunhãoPelo prazer de conquistarPalácios, riquezasComo um deserto, isso vai passarPor isso resistindo estouE quando a minha força se esgotarO Teu anjo vai me alimentarTe adorar é o que sustenta-me de péEu não vou, não vou perder a guerraTe louvar em meio às tentaçõesÉ mais que estratégiaPosso não ver o amanhãMas hoje seiQue esse deserto vai chegar ao fimO Senhor está cuidando de mimEu não preciso transformarPedras em pães para provarQue no deserto Tu estásCuidando de mimDe um lugar alto não vou me lançarSó pra demonstrar o Teu poderEu não preciso ver fenômenos para crer em TiNão troco nossa comunhãoPelo prazer de conquistarPalácios, riquezasComo um deserto, isso vai passarPor isso resistindo estouE quando a minha força se esgotarO Teu anjo vai me alimentarE Te adorar é o que sustenta-me de péEu não vou, não vou perder a guerraTe louvar em meio às tentaçõesÉ mais que estratégiaPosso não ver o amanhãMas hoje seiQue esse deserto vai chegar ao fimO Senhor está cuidando de mimTe adorar é o que sustenta-me de péEu não vou, não vou perder a guerraTe louvar em meio às tentaçõesÉ mais que estratégiaPosso não ver o amanhãMas hoje seiQue esse deserto vai chegar ao fimO Senhor está cuidando de mim"
DJ Duarte,"Ritmada Interestelar (part. DJ Kayo Original, MC Lipivox e MC Rondom)","(Esse é o DJ Kayo Original, porra)(O moleque que comanda a nova geração)(Aê, caralho)(É o DJ Duarte aê, tá bom?)(É o moleque autenticado)Deitado na cama de motel, olhando pras estrelasMe vi feliz em teu olharIsso me fez apaixonarE quando você cai, cai, cai, cai, caiNo colo do pai, pai, pai, pai, paiSempre quero mais, mais, mais, mais, maisDe um jeito sagazE quando você cai, cai, cai, cai, caiNo colo do pai, pai, pai, pai, paiSempre quero mais, mais, mais, mais, maisDe um jeito sagazE quando você cai, cai, cai, cai, caiNo colo do pai, pai, pai, pai, paiSempre quero mais, mais, mais, mais, maisDe um jeito sagazEu sempre quero maisSe não existe vida fora da Terra, o universo é um desperdício de espaçoMas as estrelas apareceram na minha frente quando eu recebi seu abraçoFoi um tanto quanto muito mágicoEntro no buraco negro só pra voltar e ver seu sorriso lá no passadoFazendo minha mente flutuarMas sei lá se existe vida fora da Terra, disso eu não seiMas eu quero aproveitar cada momento com vocêPorque a vida é sem replayNavegando no oceano dos seus olhos, tenho certeza que eu velejeiGarota, você é interestelar, nem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temNavegando no oceano dos seus olhosTenho certeza que eu velejeiGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temNavegando no oceano dos seus olhosTenho certeza que eu velejeiGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê temGarota, você é interestelarNem a estrela mais linda tem a luz que cê tem"
